Entry Number | Prediction (None, Flip, Elastic Deformation, Affine, Noise, Blur) | Actual
Entry 283 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 284 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 285 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 286 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 287 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 288 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 289 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 290 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 0
Entry 291 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 292 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 293 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 1
Entry 294 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 295 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 296 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 297 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 298 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 299 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 300 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 301 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2
Entry 302 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 303 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 304 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 305 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 0
Entry 306 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 307 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 308 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 309 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 310 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 1
Entry 311 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 312 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 313 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 314 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 315 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 316 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 2
Entry 317 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 0
Entry 318 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 319 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 0
Entry 320 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 321 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 1
Entry 322 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 1
Entry 323 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 324 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 4
Entry 325 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 326 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 2
Entry 327 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 1
Entry 328 | Predictions: [4, 4, 4, 4, 4, 4] | Most Occuring: 4 | Correct: 4
Entry 329 | Predictions: [3, 3, 3, 3, 3, 3] | Most Occuring: 3 | Correct: 3
Entry 330 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 3
Entry 331 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 4
Entry 332 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 333 | Predictions: [2, 2, 2, 2, 2, 2] | Most Occuring: 2 | Correct: 3
Entry 334 | Predictions: [0, 0, 0, 0, 0, 0] | Most Occuring: 0 | Correct: 1
Entry 335 | Predictions: [1, 1, 1, 1, 1, 1] | Most Occuring: 1 | Correct: 2

Test Accuracy:  0.4583333333333333
Quadratic Weighted Kappa:  0.32285493429528467
